gross,year
41656188,1980
41819754,1981
51853311,1982
45163768,1983
55168936,1984
49120237,1985
53504210,1986
56055503,1987
56508388,1988
71168665,1989
73309939,1990
68724430,1991
76582235,1992
74374466,1993
79246834,1994
77992028,1995
85004797,1996
101007704,1997
97725520,1998
114572662,1999
112068987,2000
122459349,2001
136524759,2002
130652942,2003
134821544,2004
123716494,2005
121934976,2006
145104847,2007
139455199,2008
167502174,2009
152908804,2010
144552543,2011
167939255,2012
168576137,2013
159437670,2014
184332167,2015
179235464,2016
